tag,group_id,theme_name
非侵入性神经刺激治疗,C8,神经刺激监测装置
神经振荡调节刺激方案,C17,神经反馈刺激分析
电脉冲反馈耦合装置,C2,柔性电极采集装置
反馈信号激励生成,C15,心理生理反馈调节
体外刺激信号控制,C4,神经刺激调控系统
植入式电极电场装置,C35,神经刺激参数优化
三维电极阵列刺激,C26,神经刺激电极装置
神经刺激状态检测,C8,神经刺激监测装置
认知脑信号刺激调控,C29,深部脑刺激调控
深部脑刺激参数调整,C29,深部脑刺激调控
神经信号通路调节,C37,神经调节刺激控制
神经反应时变监测,C17,神经反馈刺激分析
神经刺激同步干预,C18,神经刺激同步递送
脑波刺激参数生成,C29,深部脑刺激调控
交互神经刺激控制,C4,神经刺激调控系统
神经调节触发配置,C37,神经调节刺激控制
电磁脉冲刺激搜索,C18,神经刺激同步递送
皮层癫痫灶定位,C43,癫痫监测预测干预
颅外脑电癫痫监测,C43,癫痫监测预测干预
电刺激参数优化,C35,神经刺激参数优化
非侵入神经刺激校准,C4,神经刺激调控系统
微电极阵列设计制造,C6,电极阵列植入制造
微电极阵列植入应用,C26,神经刺激电极装置
微电极阵列制造技术,C6,电极阵列植入制造
相-复位神经刺激抑制,C18,神经刺激同步递送
柔性电极微创植入,C6,电极阵列植入制造
双电极脑电检测刺激,C29,深部脑刺激调控
深部脑刺激术中监测,C29,深部脑刺激调控
压电超声闭环脑深部刺激,C26,神经刺激电极装置
压电超声脑深部刺激装置,C26,神经刺激电极装置
脑网络模型闭环刺激算法,C14,脑电信号采集处理
微电极阵列神经刺激装置,C26,神经刺激电极装置
多路复用神经刺激电极配置,C26,神经刺激电极装置
电刺激运动检测生物反馈,C4,神经刺激调控系统
微电极阵列植入刺激装置,C26,神经刺激电极装置
微电极阵列深部刺激装置,C26,神经刺激电极装置
神经响应检测刺激递送系统,C8,神经刺激监测装置
细长探针微电极阵列装置,C6,电极阵列植入制造
无线控制两相刺激装置,C8,神经刺激监测装置
脑电监测电刺激诊断,C37,神经调节刺激控制
脑电监测神经刺激治疗,C37,神经调节刺激控制
微细探针多电极刺激,C26,神经刺激电极装置
诱发电位刺激参数优化,C35,神经刺激参数优化
兴奋性难治性参数测定,C35,神经刺激参数优化
慢振荡脑刺激增强记忆,C11,睡眠脑电调控增强
成对训练神经刺激治疗,C8,神经刺激监测装置
定时神经刺激训练康复,C30,脑电神经反馈康复训练
渐进式深部脑刺激调控,C29,深部脑刺激调控
电生理信号刺激检测,C4,神经刺激调控系统
三维电极探针组装,C6,电极阵列植入制造
复合电极阵列制备,C6,电极阵列植入制造
植入电极阵列制备,C6,电极阵列植入制造
电极加工制备方法,C2,柔性电极采集装置
电化学腐蚀电极制备,C2,柔性电极采集装置
脑机接口康复训练,C19,脑机接口交互控制
癫痫刺激响应调控,C4,神经刺激调控系统
皮层电刺激神经调控,C4,神经刺激调控系统
植入电极癫痫监测,C43,癫痫监测预测干预
柔性碳纳米管电极,C2,柔性电极采集装置
神经信号图像叠加,C10,神经信息分析诊断
气动式电极植入,C6,电极阵列植入制造
薄膜电极阵列制造,C6,电极阵列植入制造
药物释放神经调控,C37,神经调节刺激控制
机械引导微创植入,C6,电极阵列植入制造
声源定向脑电触感,C42,脑电听觉调控降噪
3D堆叠柔性电极,C2,柔性电极采集装置
多电极激活模式,C26,神经刺激电极装置
声源定向脑电交互,C42,脑电听觉调控降噪
微针阵列电极植入,C6,电极阵列植入制造
听觉脑干电极定位,C41,脑电电极采集装置
透明电极光刺激成像,C26,神经刺激电极装置
植入物免疫排斥抑制,C4,神经刺激调控系统
序贯释药听觉电极,C2,柔性电极采集装置
脑机接口电极配置,C19,脑机接口交互控制
光刺激神经成像电极,C26,神经刺激电极装置
多电极激活模式控制,C26,神经刺激电极装置
颅内神经刺激感测,C8,神经刺激监测装置
颅内电极接触力调节,C9,经颅聚焦刺激装置
集成电极刺激检测芯片,C26,神经刺激电极装置
侵入式脑机接口信号处理,C2,柔性电极采集装置
神经信号采集转换滤波,C33,神经信号采集解码
微电极阵列低功耗采样,C6,电极阵列植入制造
脑机接口模式识别控制,C19,脑机接口交互控制
神经元电互连微电极阵列,C6,电极阵列植入制造
头皮电生理刺激采集,C2,柔性电极采集装置
柔性电极阵列植入优化,C6,电极阵列植入制造
柔性电极制造工艺,C2,柔性电极采集装置
柔性碳纳米管电极阵列,C2,柔性电极采集装置
关节电极组件植入,C6,电极阵列植入制造
刺激参数反馈优化,C35,神经刺激参数优化
无线神经信号采集,C33,神经信号采集解码
神经刺激装置,C8,神经刺激监测装置
运动诱发电位神经调节,C37,神经调节刺激控制
颅骨大脑接口系统,C9,经颅聚焦刺激装置
可植入神经接口放大,C31,植入式神经接口系统
双频经颅刺激序列,C9,经颅聚焦刺激装置
AI闭环神经调控,C24,闭环神经调控系统
脑电信号融合处理算法,C14,脑电信号采集处理
柔性微丝电极阵列封装,C2,柔性电极采集装置
神经电极阵列植入方法,C6,电极阵列植入制造
定向冷冻相分离电极制备,C2,柔性电极采集装置
神经信号脑图像叠加显示,C14,脑电信号采集处理
气动式电极植入装置,C6,电极阵列植入制造
导丝引导微创电极植入,C6,电极阵列植入制造
尿嘧啶接枝电极绝缘涂层,C2,柔性电极采集装置
颅骨信号引导聚焦装置,C9,经颅聚焦刺激装置
刺激响应神经活动监测,C8,神经刺激监测装置
闭环神经调节刺激,C24,闭环神经调控系统
电极触点材料优化,C2,柔性电极采集装置
植入电极神经刺激,C26,神经刺激电极装置
多电极闭环癫痫抑制,C26,神经刺激电极装置
光电信刺激装置,C35,神经刺激参数优化
刺激计划图形控制,C4,神经刺激调控系统
电镀脉冲电极维护,C2,柔性电极采集装置
体感皮层刺激调节,C4,神经刺激调控系统
神经刺激参数治疗,C8,神经刺激监测装置
脑电信号刺激参数生成,C29,深部脑刺激调控
低频电刺激神经治疗,C8,神经刺激监测装置
微电极阵列植入刺激,C26,神经刺激电极装置
微电极阵列神经刺激,C26,神经刺激电极装置
人工智能闭环神经刺激,C24,闭环神经调控系统
神经信号刺激模式调整,C33,神经信号采集解码
闭环脑电刺激反馈控制,C24,闭环神经调控系统
颅内信号传输装置,C9,经颅聚焦刺激装置
颅骨孔电信号传送,C9,经颅聚焦刺激装置
脑刺激神经可塑性恢复,C29,深部脑刺激调控
脑刺激神经功能恢复,C29,深部脑刺激调控
颅骨植入神经调节接口,C9,经颅聚焦刺激装置
生物电刺激治疗递送,C4,神经刺激调控系统
微装置神经信号接口,C6,电极阵列植入制造
颅脑界面聚焦神经调节,C9,经颅聚焦刺激装置
靶向神经刺激治疗,C8,神经刺激监测装置
颅骨孔信号引导聚焦,C9,经颅聚焦刺激装置
实时电刺激控制算法,C4,神经刺激调控系统
双侧深部脑刺激装置,C29,深部脑刺激调控
电场梯度定位刺激,C35,神经刺激参数优化
微电极阵列神经接口,C26,神经刺激电极装置
微电极阵列植入监测,C26,神经刺激电极装置
多模态脑机接口芯片,C19,脑机接口交互控制
跨模态神经接口系统,C31,植入式神经接口系统
神经记录与刺激反馈,C8,神经刺激监测装置
自适应神经刺激信号,C36,自适应神经刺激调控
神经功能障碍检测调节,C37,神经调节刺激控制
多电极闭环神经调控,C37,神经调节刺激控制
多通道神经事件识别,C10,神经信息分析诊断
多通道闭环神经调控,C37,神经调节刺激控制
实时电刺激运动控制,C4,神经刺激调控系统
经颅聚焦脑机接口刺激,C9,经颅聚焦刺激装置
经颅聚焦脑机接口控制,C9,经颅聚焦刺激装置
经颅聚焦脑机接口,C9,经颅聚焦刺激装置
无线脑机接口信号传输,C14,脑电信号采集处理
颅骨植入连接装置,C9,经颅聚焦刺激装置
颅骨内植入物感测刺激,C8,神经刺激监测装置
脑神经刺激治疗装置,C8,神经刺激监测装置
神经刺激序列调控,C35,神经刺激参数优化
光电信联合刺激,C35,神经刺激参数优化
电极组合识别辅助,C13,多模态神经交互评估
神经活动解码刺激,C8,神经刺激监测装置
经颅聚焦刺激调控,C9,经颅聚焦刺激装置
跨模式神经接口,C31,植入式神经接口系统
颅骨电极植入固定,C9,经颅聚焦刺激装置
多模态神经接口装置,C13,多模态神经交互评估
颅内多模态神经接口,C9,经颅聚焦刺激装置
经颅聚焦神经调节,C9,经颅聚焦刺激装置
闭环脊髓刺激系统,C24,闭环神经调控系统
经颅离子传导神经接口,C9,经颅聚焦刺激装置
柔性神经刺激电极,C26,神经刺激电极装置
石墨烯电极闭环接口,C2,柔性电极采集装置
神经接口电极连接,C2,柔性电极采集装置
硬膜下电极连接,C2,柔性电极采集装置
神经信号混合聚类分析,C33,神经信号采集解码
三维电极刺激引导,C26,神经刺激电极装置
目标刺激模式递送,C18,神经刺激同步递送
显微制造神经电极,C6,电极阵列植入制造
电刺激干细胞分化,C26,神经刺激电极装置
神经活动触发刺激,C8,神经刺激监测装置
视皮层微电极刺激,C26,神经刺激电极装置
电极位点激活模式,C26,神经刺激电极装置
层叠电极触点装置,C2,柔性电极采集装置
无线自适应深部刺激,C29,深部脑刺激调控
复合刺激波形滤波,C6,电极阵列植入制造
电极控制电场配置,C2,柔性电极采集装置
刺激参数动态调节,C35,神经刺激参数优化
突发模式刺激治疗,C8,神经刺激监测装置
前庭电刺激装置,C35,神经刺激参数优化
刺激组合神经调节,C37,神经调节刺激控制
脑电刺激频率调节,C29,深部脑刺激调控
无创脑刺激参数优化,C29,深部脑刺激调控
经颅光生物调节,C9,经颅聚焦刺激装置
磁光联合脑刺激,C4,神经刺激调控系统
神经反馈认知调控,C17,神经反馈刺激分析
神经募集估计刺激,C8,神经刺激监测装置
神经接口系统,C31,植入式神经接口系统
透明电极阵列设计,C6,电极阵列植入制造
闭环神经特征预测,C17,神经反馈刺激分析
深脑电刺激检测,C29,深部脑刺激调控
微电极阵列装置,C26,神经刺激电极装置
皮层刺激调节,C4,神经刺激调控系统
宏微电极植入记录,C6,电极阵列植入制造
自适应神经刺激治疗,C36,自适应神经刺激调控
颅骨通道信号引导,C9,经颅聚焦刺激装置
双极皮层刺激装置,C29,深部脑刺激调控
脑刺激参数管理,C29,深部脑刺激调控
脑机接口信号传输,C19,脑机接口交互控制
神经损伤防护技术,C10,神经信息分析诊断
神经探针植入采集,C31,植入式神经接口系统
神经刺激模式调控,C35,神经刺激参数优化
血管内电极递送,C2,柔性电极采集装置
交互式神经调节,C4,神经刺激调控系统
相位同步刺激控制,C18,神经刺激同步递送
皮质刺激运动障碍治疗,C4,神经刺激调控系统
序列神经刺激装置,C35,神经刺激参数优化
感觉运动障碍康复刺激,C4,神经刺激调控系统
无线深部脑刺激系统,C29,深部脑刺激调控
慢波增强磁刺激调控,C11,睡眠脑电调控增强
认知障碍植入刺激治疗,C8,神经刺激监测装置
脑刺激靶点选择系统,C35,神经刺激参数优化
脑网络刺激参数调整,C14,脑电信号采集处理
脑网络电极靶点选择,C14,脑电信号采集处理
多电极低频神经刺激,C37,神经调节刺激控制
颅骨电极植入定位,C9,经颅聚焦刺激装置
刺激序列纤维募集,C35,神经刺激参数优化
微创颅内精准刺激,C9,经颅聚焦刺激装置
闭环神经调制递送,C24,闭环神经调控系统
神经刺激信号传输,C33,神经信号采集解码
矢量场刺激参数调控,C35,神经刺激参数优化
反馈回路神经调节,C15,心理生理反馈调节
闭环深部脑刺激,C29,深部脑刺激调控
预定刺激治疗响应,C4,神经刺激调控系统
个性化TMS刺激治疗,C4,神经刺激调控系统
脑神经电刺激装置,C8,神经刺激监测装置
非侵入去同步神经刺激,C18,神经刺激同步递送
相位同步刺激抑制,C18,神经刺激同步递送
电药物刺激脑电分析,C2,柔性电极采集装置
位点特异性记忆刺激,C4,神经刺激调控系统
脑刺激优化治疗方案,C29,深部脑刺激调控
刺激参数自适应反馈,C35,神经刺激参数优化
刺激感测电源控制,C4,神经刺激调控系统
植入式电极阵列制造,C6,电极阵列植入制造
神经刺激定位记录,C8,神经刺激监测装置
植入式脑电刺激映射,C35,神经刺激参数优化
植入式微电极涂层,C6,电极阵列植入制造
可变形神经接口载体,C31,植入式神经接口系统
神经康复信号解码,C8,神经刺激监测装置
神经调节刺激反馈,C8,神经刺激监测装置
神经康复训练评估,C10,神经信息分析诊断
颅骨植入神经接口,C9,经颅聚焦刺激装置
可植入神经刺激引线,C31,植入式神经接口系统
植入式电极贴附结构,C6,电极阵列植入制造
颅外脑电癫痫监护,C43,癫痫监测预测干预
可变形皮层电极阵列,C31,植入式神经接口系统
脑血流调节治疗,C11,睡眠脑电调控增强
脑血流调节装置,C11,睡眠脑电调控增强
脑血流灌注调节,C11,睡眠脑电调控增强
脑血流调节技术,C11,睡眠脑电调控增强
多电极低频刺激,C26,神经刺激电极装置
闭环神经刺激系统,C24,闭环神经调控系统
听觉刺激睡眠诱导,C11,睡眠脑电调控增强
闭环刺激电极变化监测,C17,神经反馈刺激分析
迟发响应刺激监测,C4,神经刺激调控系统
刺激神经募集估计,C35,神经刺激参数优化
神经信号机器学习估计,C33,神经信号采集解码
自适应神经刺激波形,C36,自适应神经刺激调控
电极配合评估方法,C2,柔性电极采集装置
电极移位刺激装置,C13,多模态神经交互评估
柔性电极阵列制造,C2,柔性电极采集装置
柔性电路刺激电极,C26,神经刺激电极装置
薄膜电极引线固定,C6,电极阵列植入制造
刺激波形生成与EEG分析,C35,神经刺激参数优化
神经植入物递送接口,C31,植入式神经接口系统
AI电生理刺激植入物,C4,神经刺激调控系统
深部脑刺激电流场控制,C29,深部脑刺激调控
神经调节刺激远程滴定,C37,神经调节刺激控制
刺激响应脑电波调制,C4,神经刺激调控系统
植入式神经调节系统,C8,神经刺激监测装置
感应脑刺激植入装置,C35,神经刺激参数优化
神经精神刺激治疗,C8,神经刺激监测装置
闭环神经刺激调控,C24,闭环神经调控系统
闭环刺激参数调节,C24,闭环神经调控系统
可变脉冲神经刺激,C18,神经刺激同步递送
脑区间同步刺激调控,C35,神经刺激参数优化
深部脑刺激驱动信号,C29,深部脑刺激调控
脑状态预测刺激同步,C18,神经刺激同步递送
经颅电刺激精准调控,C9,经颅聚焦刺激装置
多通道神经刺激控制,C37,神经调节刺激控制
多参数听觉刺激诱导睡眠,C37,神经调节刺激控制
深度脑刺激参数确定,C29,深部脑刺激调控
无线深部脑刺激装置,C29,深部脑刺激调控
闭环协同神经调控,C24,闭环神经调控系统
皮层脑电控瘫痪肌肉,C34,脑电图像生成与映射
植入电极癫痫预测,C2,柔性电极采集装置
自适应神经电刺激调节,C37,神经调节刺激控制
环境自适应神经刺激,C36,自适应神经刺激调控
动态电荷平衡脑刺激,C29,深部脑刺激调控
脑内电极阵列刺激,C25,脑电信号模式识别
脑电伪迹抑制分析,C0,脑电情绪识别分析
电极固定与连接结构,C2,柔性电极采集装置
植入式微电极刺激采集,C6,电极阵列植入制造
光刺激电记录集成电极,C26,神经刺激电极装置
颅内电极定位装置,C9,经颅聚焦刺激装置
脑电电极固定装置,C41,脑电电极采集装置
脑电认知状态分类,C3,脑电状态检测评估
神经接口电总线集成,C2,柔性电极采集装置
动物脑电刺激实验,C29,深部脑刺激调控
神经刺激反馈控制,C17,神经反馈刺激分析
自适应深部脑刺激,C36,自适应神经刺激调控
超声神经调节装置,C37,神经调节刺激控制
磁场感应脑刺激,C4,神经刺激调控系统
磁场脑功能增强,C4,神经刺激调控系统
无线神经调制刺激,C8,神经刺激监测装置
脑机接口电极优化,C19,脑机接口交互控制
颅骨脑波测量装置,C28,脑波交互反馈系统
颅内电极阵列植入,C6,电极阵列植入制造
共形电极电刺激,C6,电极阵列植入制造
神经活动检测电刺激,C8,神经刺激监测装置
低功耗神经信号采集芯片,C33,神经信号采集解码
实时神经影像电刺激调控,C4,神经刺激调控系统
植入式脑机接口装置,C19,脑机接口交互控制
闭环脑电刺激康复系统,C24,闭环神经调控系统
动物机器人脑电刺激控制,C29,深部脑刺激调控
脑电情绪分类迁移学习,C0,脑电情绪识别分析
神经活动语音解码算法,C8,神经刺激监测装置
神经语音解码模型,C33,神经信号采集解码
神经语音解码重建,C33,神经信号采集解码
神经接口植入优化,C2,柔性电极采集装置
神经接口皮层映射,C2,柔性电极采集装置
神经接口放置优化,C2,柔性电极采集装置
神经电刺激选择性,C26,神经刺激电极装置
多视图眼动解码,C5,眼动脑电视觉分析
驾驶员疲劳监测,C12,视觉脑电解码评估
深度学习神经解码,C33,神经信号采集解码
电针刺激参数优化,C35,神经刺激参数优化
脑电意图识别电刺激,C36,自适应神经刺激调控
无线神经电刺激装置,C8,神经刺激监测装置
经颅电刺激参数调控,C9,经颅聚焦刺激装置
脑电脉冲信号处理,C14,脑电信号采集处理
迷走神经刺激参数调整,C37,神经调节刺激控制
自适应神经刺激生成,C36,自适应神经刺激调控
声电联合神经刺激,C26,神经刺激电极装置
脑电意图自适应刺激,C36,自适应神经刺激调控
工作记忆神经活动评价,C27,认知意识神经评估
脑机接口电力数据传输,C19,脑机接口交互控制
脑机接口通信路径,C19,脑机接口交互控制
注意力广度脑电刺激,C11,睡眠脑电调控增强
康复训练脑肌耦合分析,C0,脑电情绪识别分析
脑电信号特征融合识别,C25,脑电信号模式识别
脑机接口数据传输,C19,脑机接口交互控制
神经活动解码与刺激,C8,神经刺激监测装置
植入式脑电刺激装置,C35,神经刺激参数优化
多靶区经颅电刺激,C37,神经调节刺激控制
中枢外周融合运动解码,C12,视觉脑电解码评估
颅内电刺激神经可塑性,C9,经颅聚焦刺激装置
植入电极刺激参数控制,C26,神经刺激电极装置
睡眠脑电刺激调控,C11,睡眠脑电调控增强
脑电分类电刺激控制,C0,脑电情绪识别分析
人宠脑机交互刺激,C24,闭环神经调控系统
自适应脑电刺激调节,C37,神经调节刺激控制
迷走神经刺激调控,C37,神经调节刺激控制
脑深部电刺激控制,C29,深部脑刺激调控
神经刺激感测管理,C8,神经刺激监测装置
颅内脑电病灶定位,C43,癫痫监测预测干预
脑电驱动功能电刺激,C29,深部脑刺激调控
脑电控制下肢康复刺激,C29,深部脑刺激调控
植入设备无线通信,C6,电极阵列植入制造
刺激参数调整治疗,C35,神经刺激参数优化
突发模式神经刺激,C8,神经刺激监测装置
深部脑刺激参数优化,C29,深部脑刺激调控
颅脑接口刺激控制,C9,经颅聚焦刺激装置
异常信号检测刺激,C4,神经刺激调控系统
配对训练定时刺激,C8,神经刺激监测装置
配对训练神经刺激,C8,神经刺激监测装置
配对训练刺激治疗,C8,神经刺激监测装置
成对训练刺激康复,C8,神经刺激监测装置
癫痫刺激参数导出,C4,神经刺激调控系统
神经状态转换电刺激,C8,神经刺激监测装置
神经调节生物标志物,C37,神经调节刺激控制
神经调节信号递送,C37,神经调节刺激控制
闭环神经调节控制,C24,闭环神经调控系统
神经功能恢复电刺激,C8,神经刺激监测装置
植入电极性能优化,C4,神经刺激调控系统
无线植入电极装置,C6,电极阵列植入制造
植入式脑机接口系统,C19,脑机接口交互控制
神经反应感测调节,C37,神经调节刺激控制
脑电功能电刺激康复,C29,深部脑刺激调控
脑电匹配视频帧率刺激,C44,脑电频率识别分析
脑电信号睡眠刺激装置,C35,神经刺激参数优化
经颅刺激感测递送装置,C18,神经刺激同步递送
经颅电刺激参数反馈,C9,经颅聚焦刺激装置
脑信号电刺激电极识别,C25,脑电信号模式识别
脑信号感测电极选择,C41,脑电电极采集装置
神经可塑性评估刺激,C8,神经刺激监测装置
无线植入式神经装置,C6,电极阵列植入制造
绝缘导管电极刺激,C6,电极阵列植入制造
认知障碍刺激评估,C8,神经刺激监测装置
神经信号无线采集转换,C33,神经信号采集解码
条件刺激神经调控,C37,神经调节刺激控制
训练联合神经刺激,C8,神经刺激监测装置
癫痫刺激模式调控,C4,神经刺激调控系统
实时自动控制算法,C4,神经刺激调控系统
非侵入性神经刺激,C8,神经刺激监测装置
脑电信号采集装置,C14,脑电信号采集处理
神经调节刺激控制,C37,神经调节刺激控制
颅孔固定装置,C9,经颅聚焦刺激装置
微创脑刺激装置,C9,经颅聚焦刺激装置
脑电信号处理显示,C14,脑电信号采集处理
植入式脑机接口,C19,脑机接口交互控制
皮层电刺激治疗,C4,神经刺激调控系统
神经信号刺激平衡分析,C33,神经信号采集解码
脑电信号特征分类识别,C25,脑电信号模式识别
神经刺激参数自动优化,C35,神经刺激参数优化
双作用神经接口电极,C29,深部脑刺激调控
引线装置支撑梳结构,C20,脑控轮椅交互系统
脑电反馈刺激环路控制,C24,闭环神经调控系统
皮层电极接触检测,C6,电极阵列植入制造
脑电共振刺激频率识别,C44,脑电频率识别分析
神经调节治疗参数导出,C8,神经刺激监测装置
神经调节闭环控制,C37,神经调节刺激控制
神经刺激参数导出,C8,神经刺激监测装置
神经刺激集成控制电路,C8,神经刺激监测装置
神经信号检测刺激康复,C33,神经信号采集解码
神经刺激电极寻址,C26,神经刺激电极装置
柔性神经刺激电极制造,C26,神经刺激电极装置
可植入电极结构设计,C6,电极阵列植入制造
脑网络模型刺激更新,C14,脑电信号采集处理
闭环刺激脉冲递送,C24,闭环神经调控系统
植入电极引线连接,C31,植入式神经接口系统
立体脑电电极定位,C6,电极阵列植入制造
神经调制参数导出,C8,神经刺激监测装置
神经信号编码模型,C33,神经信号采集解码
神经活动信号传输,C33,神经信号采集解码
神经响应参数确定,C17,神经反馈刺激分析
实时神经刺激干预,C4,神经刺激调控系统
刺激伪迹滤除处理,C4,神经刺激调控系统
