主题码,主题名,成员标签数,成员标签
C10,神经信息分析诊断,34,经血管神经刺激、经皮神经刺激装置、神经信号图像叠加、多通道神经事件识别、神经损伤防护技术、神经康复训练评估、神经振荡相位识别、神经数据分析管理系统、神经事件图像分类、图像分类神经网络、神经数据管理分析、受控注意神经分析、神经心理流模式识别、神经信号图像检测、家庭神经监测装置、多指标神经功能分析、神经事件图像分类网络、图像分类神经网络训练、神经信息诊断工具、神经信息学数据管理、神经数据对应性检测、心理行为属性识别、心理行为多模型识别、受控注意力神经反应分析、神经图像分类识别、神经血管数据功能映射、神经数据远程过程处理、神经数据同步采集、神经显著位置识别、多模态心理生理监测、神经响应癫痫风险预测、神经回路动态建模、神经信号图像分类、神经活动高维映射
C11,睡眠脑电调控增强,57,脑脊髓接口神经调控、慢振荡脑刺激增强记忆、慢波增强磁刺激调控、脑血流调节治疗、脑血流调节装置、脑血流灌注调节、脑血流调节技术、听觉刺激睡眠诱导、注意力广度脑电刺激、睡眠脑电刺激调控、睡眠脑电刺激系统、半监督睡眠脑电分类、生成对抗脑电数据增强、可解释脑电解码与增强、睡眠期小脑电刺激记忆增强、脑地图AI学习增强、记忆回放神经干预、睡眠记忆增强干预、脑电信号对抗增强、脑电信号生成增强、睡眠刺激记忆增强、脑电自适应学习调控、慢振荡同步脑刺激、记忆回放睡眠干预、注意力脑电反馈训练、注意力感觉刺激分析、脑电注意力调控、脑电注意力评估反馈、睡眠阶段脑电监测、脑电注意力指数检测、睡眠脑电自动分期、脑电注意力通信系统、多通道睡眠监测采集、听觉刺激脑电测量、注意力评估方法、脑电增强现实对象控制、脑电增强现实对象操纵、脑电电极自适应调节、注意力脑电频带分析、慢波同步声刺激、脑电注意力评估、脑电多参数注意力训练、脑电多参数测训系统、脑机接口晕动调节、慢振荡刺激触发、睡眠感觉刺激认知调控、多模态晕动症预警、脑电意志输入治疗控制、脑机接口安全监测、脑电信号检索方法、脑指纹预测模型构建、注意引导刺激呈现、睡眠脑电监测、脑电低血糖预警、脑电注意力估计、脑电识别自适应调节、脑电注意力估计方法
C12,视觉脑电解码评估,49,未知技术主题、驾驶员疲劳监测、中枢外周融合运动解码、智能假肢意图识别、注视点词语选择、注视脑电头显控制、智能信号采集推送、SSVEP非接触操作、SSVEP空中图像操作、视频觉醒度分类算法、迁移学习视频质量评估、fMRI视频神经解码、fMRI图像文本生成、广告共振测量识别、fMRI视觉图像重构模型、fMRI视觉重构模型构建、fMRI环境眼动视场控制、SSVEP视觉疲劳检测、中枢神经状态监测、视觉音频场景监测、视野缺损视觉评估、无线视野缺损监测、服装集成脑活动测量、SSVEP意识状态评估、额叶伽马波测谎、静息任务态AD评估、前额伽马波诚实检测、梦境fMRI图像重现、静息态脑网络建模、情感语义融合情绪调节、多色光SSVEP诱导、视频质量EEG评估、立体视频字幕舒适度评价、驾驶疲劳EEG检测系统、警觉水平实时监测算法、前额EOG运动估计、时间戳标记生理测量、fMRI时段确定、SSVEP相位评估方法、生物信号疲劳预测、fMRI动作关联分析、fMRI视觉解码算法、广告SSVEP评估、驾驶疲劳脑电检测、驾驶注意力脑电评估、图像质量评价模型、梦境情感特征识别、动作意图预测方法、疲劳驾驶脑电识别
C13,多模态神经交互评估,71,多模态神经刺激装置、电极组合识别辅助、多模态神经接口装置、电极移位刺激装置、多模态神经接口系统、多模态情绪反馈系统、跨模态神经数据清理、多模态神经响应分析、多模态刺激神经评估、多模态神经响应评估、多模态生理信号监测、多模态生理刺激评估、多模态认知障碍识别、情感识别模型训练、跨模态神经响应分析、跨模态神经响应增强、多模态神经诊断、多模态脑疾病检测、多模态抑郁识别网络、多模态脑力负荷分类、多模态P300目标识别、多模态情绪响应评估、多模态情感识别系统、多模态情绪识别、多模态情感识别、多模态脑健康评估、多模态脑健康识别、多模态生理脑评估、多模态情绪识别融合、多模态卷积情绪识别、多模态情绪分类模型、多模态脑功能诊断、多模态面部神经分析、多模态情绪识别算法、多模态情绪检测分类、跨模态情绪障碍检测、多模态神经信号融合、多模态刺激调控优化、多模态情感数据构建、多模态神经反馈调控、多模态警觉度监测、多模精准神经刺激、多模态生物信号脑评估、多成分刺激神经监测、多模态情绪分析算法、多模态共情响应生成、多模态测谎分析系统、多模态脑电视觉协同、运动滤波多模态融合识别、多模态时空注意力融合模型、多模态情感认知响应分类、多模态信号神经反馈调节、异步频率识别融合、多模态注意力评估、多模态速度想象范式、多模态同步采集分析、情感脑机接口诊断、多模态脑刺激认知评估、多模态脑波信号处理、多模态脑电交互、全息多模态交互系统、全息多模态交互显示、多模态情绪识别分析、自闭症多模态评估、多模态情绪评估平台、多模态警觉性监测、多模态康复方案调整、多模态认知事件评估、多模态神经刺激干预、生物电流模式识别、多感觉联觉EEG分析
C14,脑电信号采集处理,93,脑网络建模刺激治疗、脑网络模型闭环刺激算法、脑电信号融合处理算法、神经信号脑图像叠加显示、无线脑机接口信号传输、脑网络刺激参数调整、脑网络电极靶点选择、脑电脉冲信号处理、脑电信号采集装置、脑电信号处理显示、脑网络模型刺激更新、脑网络模式刺激配置、无线脑机接口配置、图卷积脑电跨任务学习、脑电信号多级滤波放大、脑电数据移动显示、高分辨率脑电数据访问、脑电环境数据解码、脑电认证神经网络、脑电中文语言解码、脑电文本输入系统、脑电癫痫识别网络、脑电信号采集处理、高精度EEG采集系统、便携脑电交互系统、脑信号多设备映射、脑电环境认证解码、脑电位置数据分析、脑电控制界面显示、脑电功能磁同步采集、脑电肌电信号分离、便携脑电系统校准、跨被试脑电域适应、脑电控制系统数据处理、远程脑电传输分析、便携式神经反馈训练、脑电图像同步监测传输、脑电图像同步显示监测、LSTM脑电解码算法、脑电神经网络分析、孪生网络脑电嵌入、脑网络抑郁症诊断、脑网络分类器融合方法、脑网络激活序列识别、脑网络专注力量化评估、脑网络活动估计模型、脑电环境融合解码、脑电环境机器学习解码、脑电环境认证推断、脑电脉冲编码情绪识别、脑电控制显示设备、脑电多任务学习网络、脑电波查询交互界面、脑电远程诊断系统、运动同步脑电采集、脑电数据移动访问、脑电数据整合处理、脑电交互数据处理、脑电眼动交互数据处理、脑电诊断治疗系统、脑电信号采集放大、便携式脑电系统、便携脑电连续监测、脑电信号采集处理装置、脑电检测头套装置、脑电血氧同步采集、脑电信号放大电路、脑电与fMRI同步采集、脑电监测增强现实交互、脑电信号无线传输、脑电眩晕状态识别、脑电交互虚拟现实、脑网络康复训练控制、脑电波晕动症缓解、脑-计算机接口系统、多终端同步无线传输、脑电数据输出生成、脑电近红外同步采集、脑电信号同步监测、跨用户脑电特征对齐、脑电信号同步采集系统、脑电同步采集装置、脑电实验数据管理、脑电云端监测平台、脑电频谱用户认证、脑电信号处理控制、脑电信号判别分析、脑电信号无线分析、脑电自动编码分析、脑电信号分类与采集、脑电信号远程压缩、脑电通道优化算法、脑电数据增强生成
C15,心理生理反馈调节,20,反馈信号激励生成、反馈回路神经调节、心理健康空间推荐、情绪推断高亮生成、情绪状态高亮图像生成、痴呆大数据分析治疗、心理生理刺激深度学习、生理数据多感官调节、生理数据感觉调节、生理反馈场景调节、生理数据场景调节、心理生理信号处理、生理参数运动跟踪、视听刺激心理调节、心理生理人才评估、虚拟消费推荐策略、生理数据场景适配控制、生理数据多感官适配、生物数据偏好分析、微表情生理数据关联
C16,事件相关电位检测,34,主动学习脑电分类、事件相关电位偏好预测、稳态视觉诱发电位轮椅控制、稳态诱发电位检测、视觉刺激事件电位检测、视觉诱发电位识别、事件相关电位文本输入、视听刺激事件相关电位、差分事件相关电位、视觉刺激神经事件识别、视觉诱发电位同步采样、事件相关电位置信度、事件相关电位认知评估、视觉诱发电位分类分析、事件相关电位测量分析、事件相关电位认知检测、事件相关电位助听调整、事件相关电位听力评估、视觉诱发电位识别评估、事件相关电位评估、视觉诱发电位眼动测量、事件相关电位刺激分析、事件相关电位刺激调整、视觉诱发电位监测、视觉诱发生物电测量、事件相关电位注意检测、事件相关电位句子输入、事件相关电位操作控制、事件相关电位采集、诱发电位统计分析、脑电诱发电位分析、事件相关电位聚焦检测、事件相关电位共振测量、诱发电位自动测量
C17,神经反馈刺激分析,65,神经退行性疾病检测、神经响应治疗参数确定、神经振荡调节刺激方案、神经反应时变监测、神经反馈认知调控、闭环神经特征预测、闭环刺激电极变化监测、神经刺激反馈控制、神经响应参数确定、神经反应分析记录、脑波融合神经反馈、神经响应数据采集处理、神经共振响应分析、神经响应频谱分析、神经反应位置评估、脑电神经响应广告分析、神经反馈阈值调节、神经反馈同步处理、脑状态可视化神经反馈训练、神经响应调制相关性分析、神经反馈训练反馈、神经响应广告评估、神经反馈脑活动调节、广告神经响应分析、神经刺激反馈监测、神经响应数据分析、神经响应成分分析、神经反馈虚拟映射、脑活动神经反馈、fMRI神经反馈冥想、神经反馈刺激系统、神经响应测量定位、动态夹带神经反馈、音乐神经反馈调压、神经反馈效应预测、谐波分析神经反馈、动态调制神经反馈增强、神经反馈学习表现监测、神经反馈刺激材料优化、远程神经反馈系统、PBM神经反馈刺激、观众神经反应测量、观众反应数据采集、购买前后神经反应评估、神经反馈虚拟对象映射、神经反馈训练范式、神经响应视觉刺激校准、PBM夹带脑电刺激、ABM治疗神经反馈监测、ABM治疗神经反馈优化、神经刺激反馈装置、脑电音乐反馈系统、脑电视频效果评估、神经响应同步采集、神经响应运动跟踪、神经响应评估方法、神经反馈注意力调节、神经响应监测方法、神经反馈刺激治疗、助眠音频温感反馈、脑电音乐映射分析、神经响应共振分析、神经反应刺激评估、神经认知衰退预测、神经反应产品评估
C18,神经刺激同步递送,34,刺激采集隔离选通、刺激采集干扰抑制、非响应性电刺激去同步、非响应性电刺激抗癫痫、响应性电刺激去同步、聚焦刺激源递送装置、病理同步刺激抑制、随机化脉冲刺激递送、相位同步刺激递送、脉冲刺激神经激发电路、多通道脉冲刺激电路、电脉冲神经刺激递送、神经刺激同步干预、电磁脉冲刺激搜索、相-复位神经刺激抑制、目标刺激模式递送、相位同步刺激控制、非侵入去同步神经刺激、相位同步刺激抑制、可变脉冲神经刺激、脑状态预测刺激同步、经颅刺激感测递送装置、随机间隔经颅磁刺激、去同步神经刺激、电流幕脑区隔离刺激、皮质视觉假体刺激器、电刺激癫痫治疗、迷走神经微脉冲刺激、迷走神经电刺激同步、脉冲电磁场生物反馈、视觉刺激同步医疗系统、同步刺激信号处理决策、电活动模拟环境调控、触觉刺激同步呈现
C19,脑机接口交互控制,55,脑机接口康复训练、脑机接口电极配置、脑机接口模式识别控制、多模态脑机接口芯片、脑机接口信号传输、脑机接口电极优化、植入式脑机接口装置、脑机接口电力数据传输、脑机接口通信路径、脑机接口数据传输、植入式脑机接口系统、植入式脑机接口、脑机接口运动康复、脑机接口连接器、脑机接口记忆增强、脑机接口认知康复、强化学习脑机接口、脑机接口学习控制、脑信号处理接口装置、线性信号处理、多模态脑机接口控制、脑机接口虚拟对象操控、脑机接口VR内容调节、脑机接口虚拟对象定制、脑机接口虚拟交互、脑机接口虚拟对象控制、意识状态脑机接口、增强现实脑控交互、脑机接口VR交互、脑机接口环境控制、增强现实脑机接口、脑机接口系统开发、视口预测脑机交互、脑机接口神经反馈、混合脑机接口信号、脑机接口通信系统、脑机接口信号解码、脑机接口自适应解码训练、脑信号视口预测、脑机视口预测、脑机接口虚拟交互解码、脑机接口虚拟对象调制、脑机接口虚拟对象调节、脑机接口信号处理、想象运动脑机接口训练、脑控VR游戏交互系统、脑机接口VR仿真装置、脑机接口模式识别、脑机接口虚拟手控制、增强现实脑电刺激、混合脑机接口控制、脑机接口信号采集、多模态脑机融合学习、脑机接口多模块管理、增强现实刺激变换
C20,脑控轮椅交互系统,11,引线装置支撑梳结构、支撑杆制造、SSVEP电动轮椅控制、SSVEP轮椅脑控系统、头戴显示文本控制、头戴设备尺寸调节、头戴设备眨眼控制、眼动脑电轮椅控制、脑控轮椅安全系统、脑控轮椅预警避险、眨眼检测避碰控制
