entity_type,alias,canonical,freq
应用场景,临床应用,临床应用,3
应用场景,临床康复,临床康复,2
应用场景,临床环境,临床环境,1
应用场景,临床电生理诊断,临床电生理诊断,1
应用场景,临床症状改善,临床症状改善,1
应用场景,临床研究,临床研究,1
应用场景,临床脑功能评估,临床脑功能评估,1
应用场景,临床诊断,临床诊断,2
应用场景,临床诊断和干预,临床诊断和干预,1
应用场景,临床诊断和监测,临床诊断和监测,1
应用场景,临床试验中的样本选择,临床试验中的样本选择,1
应用场景,主观显著性评估,主观显著性评估,1
应用场景,乡村卫生护士(vhn)访问村庄时快速收集生命体征,生命体征监测,1
应用场景,书写能力评估,书写能力评估,1
应用场景,事件相关电位采集,事件相关电位采集,2
应用场景,事故预防,事故预防,1
应用场景,云平台,云平台,1
应用场景,亚感知治疗,亚感知治疗,2
应用场景,交互,交互,2
应用场景,交互式介导现实环境,虚拟和增强现实系统,3
应用场景,交互系统,交互系统,1
应用场景,交变电场治疗,交变电场治疗,1
应用场景,交感神经型颈椎病治疗,交感神经型颈椎病治疗,1
应用场景,产品,产品,1
应用场景,产品体验评估,产品体验评估,1
应用场景,产品偏好确定,产品推荐,1
应用场景,产品包装改进,产品包装改进,1
应用场景,产品定制,产品定制,7
应用场景,产品定制系统,产品定制系统,2
应用场景,产品广告比较,产品广告比较,1
应用场景,产品或服务的宣传或价格响应,产品或服务的宣传或价格响应,1
应用场景,产品控制,产品控制,3
应用场景,产品推荐,产品推荐,1
应用场景,产品气味体验过程,产品气味体验过程,2
应用场景,产品特定味觉体验过程,产品特定味觉体验过程,1
应用场景,产品设计方案决策,产品设计方案决策,3
应用场景,产品设计阶段,产品设计阶段,1
应用场景,产品评估,产品评估,1
应用场景,产品配方定制,产品配方定制,1
应用场景,产品配方评估,产品定制,6
应用场景,亨廷顿氏病,亨廷顿氏病,2
应用场景,亨廷顿病,亨廷顿病,1
应用场景,人与宠物双向语义交流,人与宠物双向语义交流,1
应用场景,人事管理研究,人才评估,1
应用场景,人体中经皮电神经刺激,人体中经皮电神经刺激,1
应用场景,人体受试者脑电信号分类,人体受试者脑电信号分类,1
应用场景,人体头部脑电信号采集,脑电信号采集,1
应用场景,人体检测,人体检测,1
应用场景,人体精神状态管理,人体精神状态管理,1
应用场景,人体脑电信号处理与脑调控技术领域,人体脑电信号处理与脑调控技术领域,1
应用场景,人因工程技术领域,人因工程技术领域,1
应用场景,人头部有毛发区域,皮肤表面,1
应用场景,人工感觉刺激,人工感觉刺激,1
应用场景,人工智能及生物医学传感技术领域,医学材料领域,1
应用场景,人工智能技术领域,人工智能技术领域,1
应用场景,人工智能模型学习,机器学习,2
应用场景,人工智能领域,神经科学研究,2
应用场景,人工耳蜗植入者情感语义辨识能力评估,人工耳蜗植入者情感语义辨识能力评估,1
应用场景,人工视觉,人工视觉,1
应用场景,人工视觉系统,人工视觉系统,1
应用场景,人才评估,人才评估,1
应用场景,人机交互,人机交互,6
应用场景,人机交互(hci),人机交互,2
应用场景,人机交互/脑机交互,脑机交互,1
应用场景,人机交互干电极制备,轻量级脑电图监测设备,1
应用场景,人机交互技术领域,多模态交互,2
应用场景,人机交互训练,人机交互训练,1
应用场景,人机交流,人机交流,1
应用场景,人机接口,人机接口,1
应用场景,人机智能协同技术领域,人机智能协同技术领域,1
应用场景,人机界面(hmi),人机界面(hmi),1
应用场景,人机识别系统,人机识别系统,2
应用场景,人检测,人检测,1
应用场景,人检测器装置,人检测器装置,2
应用场景,人检测器设备,设备,1
应用场景,人的感觉能力评估,人的感觉能力评估,2
应用场景,人睡眠期间,人睡眠期间,1
应用场景,人类受试者响应于包含目标图像和非目标图像的一系列图像,含目标图像和非目标图像的一系列图像,1
应用场景,人类和动物中治疗持续性障碍的意识的调节,人类和动物中治疗持续性障碍的意识的调节,1
应用场景,人类微表情的研究,人类微表情的研究,1
应用场景,人类患者,人类患者,1
应用场景,人类疾病筛查,人类疾病筛查,1
应用场景,人类观看者视觉刺激,视觉刺激,1
应用场景,人脑与计算机之间的通信领域(脑机接口),脑机接口,1
应用场景,人脑中的深处,人脑中的深处,3
应用场景,人脑内部深处,人脑内部深处,1
应用场景,人脑的皮层,人脑的皮层,1
应用场景,人脑的皮层区域,人脑的皮层区域,3
应用场景,人脑神经活动信号解码,脑活动解码,2
应用场景,人脑认知功能探究,脑功能研究,2
应用场景,仅通过眼睛注视点来控制来自视频显示器的计算机化机械,仅通过眼睛注视点来控制来自视频显示器的计算机化机械,1
应用场景,介入式脑机接口,介入式脑机接口,1
应用场景,介导现实环境,现实世界(非临床)环境,2
应用场景,代谢/进食障碍,代谢/进食障碍,1
应用场景,代谢疾病,代谢疾病,1
应用场景,任何其它合适的解剖位置,任何其它合适的解剖位置,1
应用场景,任务分类,任务分类,2
应用场景,任务执行,任务执行,1
应用场景,任务执行过程中的认知状态分析,任务执行过程中的认知状态分析,1
应用场景,任务相关刺激,刺激评估,1
应用场景,任务相关刺激的脑响应检测,任务相关刺激的脑响应检测,1
应用场景,任务表现,任务表现,1
应用场景,仿体,仿体,1
应用场景,企业情绪分析,企业情绪分析,1
应用场景,企业招聘,企业招聘,2
应用场景,休息,睡眠分析,2
应用场景,传入迷走神经调节治疗癫痫、抑郁症、帕金森氏病等,传入迷走神经调节治疗癫痫、抑郁症、帕金森氏病等,1
应用场景,传出迷走神经刺激治疗心房纤颤和充血性心力衰竭,传出迷走神经刺激治疗心房纤颤和充血性心力衰竭,1
应用场景,传感器,传感器,1
应用场景,传热,传热,1
应用场景,伤口愈合,伤口愈合,1
应用场景,位置或运动监测,动作识别,1
应用场景,位置认证,位置认证,1
应用场景,低运动强度场景,非屏蔽环境,1
应用场景,住院治疗,住院治疗,1
应用场景,体内和经颅刺激对象的脑组织,测量脑同步,1
应用场景,体内植入,体内植入,1
应用场景,体内植入可植入系统,体内植入,1
应用场景,体内植入物位置,体内植入物位置,1
应用场景,体感刺激,体感刺激,1
应用场景,体验,体验,4
应用场景,使用可穿戴式显示器,可穿戴显示器,1
应用场景,使用头戴式显示器,头戴式显示器,1
应用场景,使用虚拟现实设备的脑电图测量,使用虚拟现实设备的脑电图测量,1
应用场景,侵入式/半侵入式脑机接口,侵入式/半侵入式脑机接口,1
应用场景,侵入式脑机接口,侵入式脑机接口,1
应用场景,侵入式脑机接口中的多视图解码,侵入式脑机接口,1
应用场景,便携式无线记录脑电活动,便携式无线记录脑电活动,1
应用场景,便携式神经反馈,便携式神经反馈,1
应用场景,便携式脑波检测,便携式脑波检测,1
应用场景,便携式脑电图设备,脑电图测量装置,1
应用场景,便携式装置,便携式装置,1
应用场景,便携式设备,便携式设备,1
应用场景,便携式通信设备,便携式通信设备,1
应用场景,促进和恢复运动,促进和恢复运动,1
应用场景,保健,医疗服务,1
应用场景,信号处理,信号处理,1
应用场景,信息交互技术领域,信息交互技术领域,1
应用场景,信息处理和控制中心,信息处理和控制中心,2
应用场景,信息处理系统,信息处理系统,2
应用场景,信息处理装置,信息处理装置,1
应用场景,信息提供装置,信息提供装置,1
应用场景,信息评价,精神心理评估,2
应用场景,假体,假体,1
应用场景,假肢,假肢,1
应用场景,假肢控制,假肢控制,1
应用场景,假肢设备,控制神经假体,1
应用场景,假肢领域,假肢领域,1
应用场景,偏头痛,偏头痛,11
应用场景,偏头痛或头痛,偏头痛或头痛,2
应用场景,偏头痛治疗,偏头痛治疗,1
应用场景,偏好确定,偏好确定,1
应用场景,健全个体,健全个体,1
应用场景,健康帽,健康帽,1
应用场景,健康监护,健康监护,1
应用场景,健康监测系统集成,健康监测系统集成,1
应用场景,健脑发育障碍改善,健脑发育障碍改善,1
应用场景,儿童asd诊断,儿童自闭症诊断,2
应用场景,儿童自闭症诊断,儿童自闭症诊断,1
应用场景,元宇宙,元宇宙,1
应用场景,元宇宙概念下的购物形式,虚拟现实购物,1
应用场景,元界,元界,1
应用场景,充血性心力衰竭(chf)治疗,充血性心力衰竭(chf)治疗,1
应用场景,光刺激的神经细胞刺激及神经细胞光学成像的融合研究,光刺激的神经细胞刺激及神经细胞光学成像的融合研究,1
应用场景,光学头戴式显示器设备,头戴式显示器,1
应用场景,光诱导神经元活动测量,光诱导神经元活动测量,1
应用场景,免持装置,免持装置,1
应用场景,免提人机交互,免提人机交互,1
应用场景,入耳式脑活动传感器,脑电信号检测,1
应用场景,全息影像,全息影像,1
应用场景,全息影像技术领域,全息影像,2
应用场景,全景视频流,全景视频流,3
应用场景,全景视频流式传输,全景视频流式传输,2
应用场景,全脑eeg神经反馈训练,脑电图系统,1
应用场景,公司环境,环境,1
应用场景,共济失调,共济失调,1
应用场景,关闭环脑电刺激,关闭环脑电刺激,1
应用场景,其他体腔,其他体腔,1
应用场景,其他神经系统疾病,神经疾病的治疗,1
应用场景,其它发育障碍,其它发育障碍,1
应用场景,其它神经障碍,神经障碍,1
应用场景,兽医学,兽医学,1
应用场景,内容互动,内容互动,1
应用场景,内容传送系统,内容传送系统,1
应用场景,内容评估,感官评价,1
应用场景,内容评估分析,内容评估分析,1
应用场景,内部器官,内部器官,1
应用场景,再学习过程,再学习过程,1
应用场景,军事,军事,1
应用场景,军事和海军基地,军事和海军基地,1
应用场景,军事和航空航天,军事和航空航天,3
应用场景,军事封闭孤立操作环境,军事封闭孤立操作环境,1
应用场景,军事行动区,军事行动区,1
应用场景,农产品营销,产品或服务的宣传或价格响应,1
应用场景,农村地区孕妇和胎儿的生命体征监测,生命体征监测,1
应用场景,冥想,冥想,2
应用场景,减少人体疼痛,减少人体疼痛,2
应用场景,减缓脑萎缩,减缓脑萎缩,1
应用场景,减轻或消除功能紊乱症状,减轻或消除功能紊乱症状,1
应用场景,减轻疼痛,疼痛治疗,1
应用场景,分子筛选,药物筛选,1
应用场景,分析eeg和ep数据,分析eeg和ep数据,1
应用场景,分析eeg响应视频媒体立面的刺激,脑电信号采集,1
应用场景,切除手术前识别癫痫区域,切除手术前识别癫痫区域,1
应用场景,切除神经外科手术,切除神经外科手术,1
应用场景,创伤后应激障碍,创伤后应激障碍,9
应用场景,创伤后应激障碍治疗,心理治疗,1
应用场景,初始筛查和诊断与注意力受损相关的疾病,初始筛查和诊断与注意力受损相关的疾病,1
应用场景,利用脑波控制目标对象,目标对象控制,1
应用场景,刺激,刺激,1
应用场景,刺激具有病理同步和振荡神经活动的神经元,刺激神经元,1
应用场景,刺激协议实施,刺激协议实施,1
应用场景,刺激参数优化,刺激参数优化,1
应用场景,刺激参数的优化,刺激参数优化,1
应用场景,刺激呈现系统,刺激呈现系统,2
应用场景,刺激响应,刺激响应,1
应用场景,刺激患者的meynert基底核,刺激患者的meynert基底核,1
应用场景,刺激患者的脊髓,刺激患者的脊髓,1
应用场景,刺激患者的脑中神经元和/或脊髓,刺激患者的脑中神经元和/或脊髓,1
应用场景,刺激患者脑和/或脊髓中的神经元,刺激神经元,1
应用场景,刺激或记录神经活动,监测脑神经活动,1
应用场景,刺激材料习惯化分析,刺激材料习惯化分析,1
应用场景,刺激材料分析,刺激材料分析,3
应用场景,刺激材料压缩,个性化环境呈现,1
应用场景,刺激材料引入,刺激材料引入,1
应用场景,刺激治疗,刺激治疗,1
应用场景,刺激测试模式,刺激测试模式,1
应用场景,刺激病人的脑中神经元和/或与电刺激的脊髓,刺激病人的脑中神经元和/或与电刺激的脊髓,1
应用场景,刺激神经元,刺激神经元,3
应用场景,刺激系统,刺激系统,1
应用场景,刺激脑组织,刺激脑组织,1
应用场景,刺激评估,刺激评估,1
应用场景,前庭植入物,前庭植入物,3
应用场景,前庭神经刺激,前庭神经刺激,1
应用场景,办公室,办公室,1
应用场景,功能刺激,功能刺激,1
应用场景,功能康复训练,功能康复训练,1
应用场景,功能性疾病的诊断与治疗,功能性疾病的诊断与治疗,1
应用场景,功能性磁共振图像处理,功能性磁共振图像处理,1
应用场景,功能性磁共振图像数据采集,成像,5
应用场景,功能性磁共振成像(mri),功能性磁共振成像(mri),1
应用场景,功能磁共振图像数据采集,磁共振成像,2
应用场景,功能磁共振成像,功能磁共振成像,1
应用场景,动作程序,动作程序,1
应用场景,动作识别,动作识别,1
应用场景,动态electrocortical成像(deci),皮质成像模式,1
应用场景,动物实验研究,动物实验研究,1
应用场景,动物应用,动物应用,1
应用场景,动物本体感觉实验,动物本体感觉实验,1
应用场景,动物机器人行为调控,动物机器人行为调控,1
应用场景,动物研究,动物研究,1
应用场景,动物神经系统,动物神经系统,10
应用场景,助听器调整,助听器调整,3
应用场景,助听器调节,助听器调节,1
应用场景,助听器选择,助听器选择,1
应用场景,助听器顺应性试验,助听器选择,1
应用场景,助听系统,助听系统,1
应用场景,助听装置,认知助听器,2
应用场景,包装,营销材料,2
应用场景,包装评估,包装评估,2
应用场景,化学物质递送,物质递送,2
应用场景,化身脑状态模拟,大脑模拟,1
应用场景,区域内提供场所相关服务,场所相关服务的可控设备控制,1
应用场景,医学,医学,6
应用场景,医学图像分析,医学图像分析,1
应用场景,医学图像技术领域,医学图像技术领域,2
应用场景,医学工程,医学工程,1
应用场景,医学影像,图像处理,1
应用场景,医学材料领域,医学材料领域,1
应用场景,医学诊断,医学诊断,2
应用场景,医学领域,医疗应用,1
应用场景,医生办公室,医生办公室,1
应用场景,医用图像处理系统,医用图像处理系统,1
应用场景,医用植入物神经刺激器装置,可植入神经刺激器,2
应用场景,医疗,医疗,2
应用场景,医疗中用于组织刺激,医疗组织刺激,1
应用场景,医疗仪器,医疗仪器,1
应用场景,医疗保健,医疗保健,2
应用场景,医疗保健分析,医疗保健分析,1
应用场景,医疗保健管理,医疗保健管理,1
应用场景,医疗和研究实践中,医疗和研究实践中,1
应用场景,医疗器械,医疗器械,1
应用场景,医疗器械技术领域,医疗器械技术领域,2
应用场景,医疗器械领域,医疗器械领域,4
应用场景,医疗应用,医疗应用,1
应用场景,医疗康复,医疗康复,3
应用场景,医疗康复工程,医疗康复工程,1
应用场景,医疗技术领域,医疗设备,3
应用场景,医疗服务,医疗服务,1
应用场景,医疗用电气设备,医疗用电气设备,1
应用场景,医疗电极阵列系统,电极阵列,1
应用场景,医疗监测,实时精神状态监测,1
应用场景,医疗目的,医疗目的,1
应用场景,医疗系统,医疗系统,3
应用场景,医疗组织刺激,医疗组织刺激,1
应用场景,医疗装置,医疗装置,1
应用场景,医疗装置系统,医疗装置系统,1
应用场景,医疗设备,医疗设备,3
应用场景,医疗设备展示,医疗设备展示,1
应用场景,医疗设备技术领域,医疗设备技术领域,4
应用场景,医疗诊断,神经诊断,4
应用场景,医疗领域,医疗器械领域,4
应用场景,医药,医药,2
应用场景,医院,医院,1
应用场景,医院视频监控,视频监控,1
应用场景,医院采集的精神疾病工作记忆的eeg数据集,精神疾病工作记忆的eeg数据集分析,1
应用场景,协助学习记忆的电子产品技术领域,协助学习记忆的电子产品技术领域,1
应用场景,协同复位神经调节,协同复位神经调节,1
应用场景,协调重置神经调节,神经刺激程序,1
应用场景,单试次eeg信号分类实验,单试次eeg信号分类实验,1
应用场景,印刷广告,印刷广告,2
应用场景,压力监测,监测,1
应用场景,压力缓解,压力缓解,1
应用场景,压力评测减压,压力缓解,1
应用场景,压力调节,压力调节,1
应用场景,原位接合监测,原位接合监测,1
应用场景,原位接合监测和跟踪,运动跟踪,2
应用场景,双向音视频通信平台,双向音视频通信平台,1
应用场景,双向音频-视频通信平台,媒体内容,2
应用场景,双相情感障碍,双相情感障碍,2
应用场景,双相障碍,双相障碍,1
应用场景,受试者学习对特定身体部位的刻意控制,受试者学习对特定身体部位的刻意控制,1
应用场景,句子输入装置,句子输入装置,1
应用场景,可佩戴显示器,可穿戴显示器,1
应用场景,可佩戴计算设备,可穿戴设备,2
应用场景,可植入刺激引线连接,可植入刺激引线连接,1
应用场景,可植入刺激装置,可植入神经刺激设备,1
应用场景,可植入医疗装置,可植入医疗装置,5
应用场景,可植入器件,植入,1
应用场景,可植入引线装置,神经刺激器植入,1
应用场景,可植入电刺激器,可植入电刺激器,2
应用场景,可植入电刺激系统,可植入电刺激系统,1
应用场景,可植入电极,可植入电极,1
应用场景,可植入电极引线系统,植入体,1
应用场景,可植入电极装置,植入式电极装置,2
应用场景,可植入的无线神经装置,可植入的无线神经装置,1
应用场景,可植入神经刺激器,可植入神经刺激器,2
应用场景,可植入神经刺激器系统,神经刺激器,4
应用场景,可植入神经刺激系统,神经刺激系统,1
应用场景,可植入神经刺激设备,可植入神经刺激设备,1
应用场景,可植入神经接口装置,可植入神经接口装置,1
应用场景,可植入系统,可植入系统,1
应用场景,可植入装置,神经刺激器系统,3
应用场景,可植入视网膜假体,可植入视网膜假体,2
应用场景,可植入设备,植入式设备,2
应用场景,可穿戴扩展现实神经科学分析,服装集成,1
应用场景,可穿戴显示器,可穿戴显示器,1
应用场景,可穿戴智能设备技术应用领域,可穿戴智能设备技术应用领域,1
应用场景,可穿戴神经接口平台,植入神经接口,2
应用场景,可穿戴系统,可穿戴系统,1
应用场景,可穿戴组件,可穿戴设备,2
应用场景,可穿戴脑机接口设备,可穿戴脑机接口设备,1
应用场景,可穿戴计算设备,可穿戴计算设备,5
应用场景,可穿戴设备,可穿戴设备,5
应用场景,可视化相似性,可视化相似性,1
应用场景,可视或音频广告有效性评价,广告评估,1
应用场景,可视脑机接口,可视脑机接口,2
应用场景,可连接或佩戴到使用者的头部,可连接或佩戴到使用者的头部,1
应用场景,各种医学病症的刺激治疗,各种医学病症的刺激治疗,1
应用场景,同感度评估,社交认知数据采集,1
应用场景,同时eeg/mri检查,同时eeg/mri检查,1
应用场景,同步eeg-fmri扫描,磁共振成像期间记录脑电图,1
应用场景,同步eeg-fmri数据采集,同步eeg-fmri数据采集,1
应用场景,后续科学研究,后续科学研究,1
应用场景,向他人传递意图,意图传达,1
应用场景,向具有脊髓的患者递送神经刺激能量,向具有脊髓的患者递送神经刺激能量,1
应用场景,向受试者递送刺激,向受试者递送刺激,1
应用场景,向患者提供治疗,治疗,4
应用场景,向患者提供电神经刺激治疗,向患者提供电神经刺激治疗,1
应用场景,向患者施用多重刺激,向患者施用多重刺激,1
应用场景,向患者的脑神经提供电信号以治疗疾病,向患者提供电神经刺激治疗,1
应用场景,向患者递送电刺激疗法,电刺激治疗,1
应用场景,向患者递送电压受限神经刺激,向患者递送电压受限神经刺激,1
应用场景,向患者部位施加电刺激,电刺激施加,1
应用场景,向有需要的患者施用可变脉冲电或磁刺激,向有需要的患者施用可变脉冲电或磁刺激,1
应用场景,向用户提供定制内容,定制内容,1
应用场景,向虚拟现实渲染设备流式传输虚拟现实视频,虚拟现实视频流式传输,1
应用场景,含目标图像和非目标图像的一系列图像,含目标图像和非目标图像的一系列图像,1
应用场景,听力设备,听力设备,2
应用场景,听力评估,药物,2
应用场景,听力辅助系统,听力辅助系统,3
应用场景,听力障碍用户交流,听力障碍用户交流,1
应用场景,听性脑干反应检测,听性脑干反应检测,1
应用场景,听神经植入物,听神经植入物,1
应用场景,听觉事件相关电位测量,听觉事件相关电位测量,1
应用场景,听觉刺激,听觉刺激,1
应用场景,听觉植入,听觉植入,1
应用场景,听觉活动,活动识别,1
应用场景,听觉活动恢复,听觉活动恢复,3
应用场景,听觉脑干植入,听觉脑干植入,1
应用场景,听觉脑机接口,听觉脑机接口,3
应用场景,听觉评价,听觉评价,1
应用场景,周围神经,周围神经,3
应用场景,周围神经信号采集,神经信号检测,1
应用场景,周围神经修复,周围神经修复,1
应用场景,周围神经刺激,周围神经刺激,1
应用场景,周围神经电刺激,周围神经电刺激,1
应用场景,周围神经电极组件,周围神经电极组件,1
应用场景,周围神经的束内刺激和/或感测,周围神经的束内刺激和/或感测,1
应用场景,味觉感官评估,味觉感官评估,2
应用场景,咖啡厅,咖啡厅,1
应用场景,咨询,咨询,1
应用场景,品牌和广告,品牌和广告,1
应用场景,品牌和广告评估,品牌和广告评估,1
应用场景,响应性脑刺激,响应性脑刺激,1
应用场景,哮喘,哮喘,2
应用场景,唤醒,唤醒,1
应用场景,商业,商业,1
应用场景,商业传播,商业传播,1
应用场景,商业传播评估,商业传播评估,1
应用场景,商业广告评价,商业广告评价,1
应用场景,商业序列,商业序列,1
应用场景,商业评估,商业评估,1
应用场景,商品推荐,商品推荐,1
应用场景,商店监视器,商店监视器,1
应用场景,商店监视器、广告牌和显示器上的刺激材料修改,商店监视器、广告牌和显示器上的刺激材料修改,1
应用场景,商店货架,商店货架,4
应用场景,商标相似度判定系统,商标相似度判定系统,1
应用场景,嗅觉和味觉康复系统,嗅觉和味觉康复系统,1
应用场景,嗅觉感官体验评估,嗅觉感官评估,1
应用场景,嗅觉感官评估,嗅觉感官评估,1
应用场景,团队执行行为任务,团队执行行为任务,1
应用场景,图像,图像,6
应用场景,图像内容评估,图像内容评估,1
应用场景,图像内容递送,内容传送系统,1
应用场景,图像分类,图像分类,24
应用场景,图像呈现,图像呈现,1
应用场景,图像处理,图像处理,1
应用场景,图像处理技术领域,图像处理,2
应用场景,图像广告插入,视频广告插入,1
应用场景,图像检测,图像检测,1
应用场景,图像生成,图像生成,1
应用场景,图像视觉记忆的客观确定,图像视觉记忆的客观确定,1
应用场景,图像视觉记忆评估,图像视觉记忆评估,1
应用场景,图像质量评价,图像质量评价,1
应用场景,图像重建,图像重建,1
应用场景,图形用户界面gui,图形用户界面gui,1
应用场景,图片语义分类搜索,图片语义分类搜索,1
应用场景,在线脑图谱,在线脑图谱,1
应用场景,场所区域提供场所相关服务,场所相关服务的可控设备控制,1
应用场景,场所可控设备控制,场所可控设备控制,1
应用场景,场所相关服务的可控设备控制,场所相关服务的可控设备控制,1
应用场景,基于eeg的认知状态识别,脑电信号识别,2
应用场景,基于全息设备的多模态交互,多模态交互,2
应用场景,基于内容的广告插播选择,广告分析,1
应用场景,基于头戴式显示器的脑机接口,头戴式设备,1
应用场景,基于头戴式显示器的脑机接口装置,基于头戴式显示器的脑机接口装置,3
应用场景,基于实时脑电信号监测通过夹带同步振荡刺激脑电波的定制tacs装置,基于实时脑电信号监测通过夹带同步振荡刺激脑电波的定制tacs装置,1
应用场景,基于手机的无线和移动脑-机器接口,人机接口,1
应用场景,基于用户佩戴的耳机,基于用户佩戴的耳机,1
